submission_id,user_id,assesment_id,score
1,101,2,49
2,101,242,91
3,102,388,72
4,102,13,64
5,102,110,59
6,103,180,92
7,103,322,88
8,103,250,89
9,104,142,66
10,104,375,96
11,104,183,69
12,105,197,87
13,106,398,92
14,106,201,88
15,107,77,98
16,107,201,83
17,107,137,84
18,107,123,100
19,108,368,92
20,108,225,81
21,108,330,46
22,108,176,88
23,109,188,93
24,109,323,62
25,109,223,92
26,110,104,69
27,111,171,98
28,111,81,77
29,111,380,49
30,112,73,98
31,112,36,53
32,112,336,54
33,112,175,72
34,113,141,53
35,113,88,94
36,113,60,100
37,113,362,88
38,114,16,56
39,114,211,65
40,115,18,67
41,115,210,42
42,115,363,46
43,115,134,63
44,116,347,47
45,116,291,99
46,117,138,48
47,117,117,96
48,118,304,94
49,119,208,73
50,120,187,57
51,120,274,82
52,121,234,78
53,121,281,94
54,121,294,45
55,122,179,51
56,122,126,45
57,122,22,83
58,123,125,64
59,123,197,94
60,123,28,72
61,123,37,64
62,124,36,81
63,124,48,91
64,124,162,79
65,125,316,65
66,126,343,84
67,126,209,82
68,126,299,80
69,126,207,49
70,127,249,58
71,127,101,55
72,127,205,72
73,128,128,75
74,128,268,71
75,129,292,94
76,130,315,98
77,130,92,56
78,130,224,41
79,131,166,91
80,131,256,72
81,131,136,96
82,131,305,53
83,132,270,68
84,132,166,51
85,132,311,63
86,132,148,80
87,133,362,56
88,133,253,76
89,134,159,95
90,134,63,87
91,135,9,98
92,135,102,88
93,136,91,49
94,137,201,80
95,137,228,51
96,137,200,87
97,137,41,74
98,138,342,99
99,138,168,75
100,138,133,57
101,139,225,89
102,139,384,47
103,139,80,90
104,139,42,44
105,140,324,71
106,140,81,82
107,140,375,88
108,141,291,47
109,141,96,59
110,142,265,75
111,142,356,41
112,142,317,80
113,142,17,42
114,143,75,85
115,143,380,89
116,143,245,89
117,143,15,80
118,144,181,88
119,144,161,60
120,145,95,65
121,145,190,43
122,145,387,51
123,146,209,84
124,147,181,88
125,147,124,90
126,147,264,99
127,147,350,43
128,148,22,48
129,148,121,92
130,148,161,47
131,149,271,55
132,149,76,62
133,149,202,63
134,149,144,47
135,150,295,78
136,150,139,68
137,151,231,59
138,152,182,52
139,152,260,85
140,153,305,89
141,154,362,68
142,154,231,66
143,154,122,86
144,155,105,76
145,155,209,47
146,156,347,58
147,157,11,69
148,157,292,66
149,157,335,45
150,157,147,50
151,158,35,81
152,158,125,66
153,158,98,82
154,159,68,64
155,159,243,63
156,160,398,91
157,160,130,42
158,160,158,83
159,160,92,87
160,161,362,94
161,162,398,67
162,163,192,72
163,164,205,47
164,165,345,79
165,165,234,64
166,165,255,94
167,165,67,80
168,166,328,55
169,167,118,46
170,168,92,43
171,169,49,77
172,169,55,74
173,169,381,87
174,170,341,91
175,170,170,53
176,170,84,74
177,171,166,60
178,171,111,76
179,171,260,84
180,172,190,77
181,172,32,65
182,172,40,56
183,173,109,42
184,174,329,55
185,174,202,84
186,174,63,72
187,174,14,86
188,175,251,55
189,175,272,82
190,175,307,72
191,175,236,76
192,176,93,52
193,176,369,45
194,176,303,55
195,177,187,72
196,177,261,86
197,177,199,58
198,177,22,62
199,178,246,80
200,178,260,64
201,178,194,46
